distance,1,2,3,4,5,6,7,8,9,10,11
71.661,1.02521112,1.14902826,0.83715406,1.02110275,1.13421402,0.76043867,0.97815168,0.85857271,0.9445906,0.93348009,0.8961705
72.04,1.01730651,1.12826522,0.8378973,0.96771416,,0.76030436,0.97664717,0.86162988,0.95306325,0.94039283,0.91581839
72.419,1.00554278,1.12123477,0.83008674,0.92998295,,0.76007304,0.98606565,0.83994259,0.92267501,0.93871677,0.91949928
72.798,0.99710723,1.12183074,0.83877212,0.91252166,,0.76630054,0.99410697,0.85123329,0.90014243,0.93757412,0.9185157
73.178,1.00290843,1.10796178,0.848765,0.91779868,,0.77214854,0.97630642,0.86871149,0.88045854,0.92948624,0.9453729
73.557,1.02543196,1.10128993,0.85236623,0.95244128,,0.76461947,0.95101519,0.8702803,0.88217876,0.94143529,0.93440968
73.936,1.04874641,1.10457787,0.85852554,1.02155993,,0.76050796,0.92668726,0.88068238,0.8791076,0.97306657,0.94649821
74.315,1.07569132,1.10561324,0.85230696,1.05692196,,0.75045145,0.93736028,0.87253661,0.86514401,0.96345426,0.9399482
74.694,1.08173529,1.11119922,0.866182,1.02264439,,0.75896442,0.97530538,0.86353331,0.88002275,0.98327999,0.93463303
75.073,1.05212941,1.12176004,0.87651508,0.97198822,,0.75446915,0.99962623,0.87087089,0.87703875,0.98108676,0.93118192
