distance,1,2,3,4,5,6,7
106.923,,,,0.13805061,,,0.15775096
107.302,,,,0.13179677,,,0.16508338
107.681,,,,0.12621387,,,0.16275388
108.06,,,,0.12014012,,,0.15682629
108.439,,,,0.12039437,,,0.15630718
108.818,,,,0.12520746,,,0.16199143
109.198,,,,0.12483668,,,0.16748102
109.577,,,,,,,0.16703329
109.956,,,,,,,0.16894751
110.335,,,,,,,0.16667316
110.714,,,,,,,0.16134579
111.093,,,,,,,0.15757576
111.473,,,,,,,0.15047693
111.852,,,,,,,0.14606774
112.231,,,,,,,0.14923756
112.61,,,,,,,0.15359808
112.989,,,,,,,0.1547239
113.368,,,,,,,0.15164493
113.748,,,,,,,
114.127,,,,,,,
114.506,,,,,,,
114.885,,,,,,,
115.264,,,,,,,
115.643,,,,,,,
116.023,,,,,,,
116.402,,,,,,,
116.781,,,,,,,
117.16,,,,,,,
117.539,,,,,,,
117.918,,,,,,,
118.297,,,,,,,
118.677,,,,,,,
119.056,,,,,,,
119.435,,,,,,,
119.814,,,,,,,
120.193,,,,,,,
120.572,,,,,,,
120.952,,,,,,,
121.331,,,,,,,
121.71,,,,,,,
122.089,,,,,,,
122.468,,,,,,,
122.847,,,,,,,
123.227,,,,,,,
123.606,,,,,,,
123.985,,,,,,,
124.364,,,,,,,
124.743,,,,,,,
125.122,,,,,,,
125.501,,,,,,,
125.881,,,,,,,
126.26,,,,,,,
126.639,,,,,,,
127.018,,,,,,,
127.397,,,,,,,
127.776,,,,,,,
128.156,,,,,,,
128.535,,,,,,,
128.914,,,,,,,
129.293,,,,,,,
129.672,,,,,,,
130.051,,,,,,,
130.431,,,,,,,
130.81,,,,,,,
131.189,,,,,,,
131.568,,,,,,,
131.947,,,,,,,
132.326,,,,,,,
132.705,,,,,,,
133.085,,,,,,,
133.464,,,,,,,
133.843,,,,,,,
134.222,,,,,,,
134.601,,,,,,,
134.98,,,,,,,
135.36,,,,,,,
135.739,,,,,,,
136.118,,,,,,,
136.497,,,,,,,
136.876,,,,,,,
137.255,,,,,,,
137.635,,,,,,,
138.014,,,,,,,
138.393,,,,,,,
138.772,,,,,,,
139.151,,,,,,,
139.53,,,,,,,
139.909,,,,,,,
140.289,,,,,,,
