distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
47.395,0.27112185,0.18834979,0.1836888,0.20714979,0.21562754,0.23713891,0.29181467,0.34303538
47.774,0.25985033,0.17109284,0.17399732,0.23723549,0.21137026,0.23539426,0.3068414,0.34427883
48.153,0.24767363,0.16819442,0.17698904,0.23177746,0.20825421,0.23965535,0.30249923,0.33597175
48.532,0.24663584,0.17194115,0.18794463,0.22377347,0.2075142,0.24690958,0.31628026,0.34540733
48.911,0.24257117,0.17604135,0.19010766,0.21738913,0.20189281,0.23999909,0.30883808,0.3498639
49.291,0.24409903,0.21381499,0.19172291,0.21154838,0.18682073,0.23916244,0.31627314,0.35541763
49.67,0.23718045,0.21622641,0.20335269,0.2100563,0.20004725,0.22792925,0.30249212,0.352053
50.049,0.24210417,0.21693334,0.20865492,0.21452145,0.20380524,0.21655014,0.3017269,0.32762287
50.428,0.25887596,0.21458476,0.20420245,0.21723937,0.19951677,0.22367465,0.30606194,0.29288987
50.807,0.25466716,0.20072107,0.19870359,0.21196994,0.19634722,0.23413929,0.30120015,0.31032429
51.186,0.23748602,0.19556048,0.18670159,0.19976704,0.19514359,0.24244095,0.28399878,0.32196465
51.566,0.24668196,0.20991116,0.17787391,0.20202457,0.19215235,0.24468823,0.27904088,0.31160431
51.945,0.23238357,0.20395724,0.17083003,0.2122972,0.19455961,0.24374781,0.2800588,0.33410657
52.324,0.22470971,0.20986403,0.17028927,0.20219098,0.20986796,0.23447654,0.26612829,0.3248016
52.703,0.23782042,0.1979719,0.17767727,0.19884072,0.22619271,0.21822669,0.26872647,0.33646286
53.082,0.21327099,0.17996874,0.17864642,0.19849682,0.23214843,0.21071303,0.29148723,0.34391833
53.461,0.22048937,0.17962313,0.18051449,0.20002773,0.21270317,0.21072925,0.30989159,0.34486398
53.841,0.22581668,0.19228503,0.18264241,0.20617356,0.19754638,0.21597292,0.32156204,0.34111796
54.22,0.22283593,0.20416146,0.18260729,0.20596833,0.21062134,0.22460859,0.33200814,0.33756002
54.599,0.22340094,0.21213407,0.18314805,0.19460854,0.20037268,0.22943069,0.32104952,0.33386102
54.978,0.20843951,0.20720126,0.18592206,0.19936212,0.20732251,0.22612624,0.31006599,0.33603444
