,X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y9,Y10,Y11,mean,std
60,50.0,0.9274787091405213,0.8245639106951927,0.8831826785320892,0.9416982846914886,0.8936472760117635,0.9141770371371881,0.7555643949752368,0.8856691895133293,1.1756991409562592,0.7838498017285309,1.3067014845200953,0.9356574461728815,0.16452860180996276
61,51.0,0.9027546639004392,0.8479834144041466,0.9094473005831756,0.9264574149877979,0.8809180583207111,0.901640004513713,0.6078749257664231,0.9067259070098332,1.300071402541378,0.8497083051978592,1.265387318544623,0.9362698832518273,0.19258125352410313
62,52.0,0.843584290508192,0.8875787748723226,0.7877101084265946,0.8141019039646962,0.8056265180112435,0.7898908288162872,0.6287654926336124,0.8434570307253244,1.2322338513445348,0.7371980950112611,1.3074962792370908,0.8797857430501054,0.20483222466696543
63,53.0,0.924458005494269,0.8435430915821921,0.8694940742420774,0.9051830299742705,0.937195282229322,0.9101550167175373,0.7430472796618538,0.8102456733890309,1.2132211202263548,0.7883172294085036,1.1975774976133104,0.9220397545944291,0.15254811722166145
64,54.0,0.7821484722585514,0.8310762411449196,0.8645144686366493,0.8848517022624501,0.9114926835146865,0.8718560068652031,0.6169755586941738,0.8711287989758648,1.3655413681331647,0.791418750441154,1.1361609264270298,0.9024695433958044,0.1965228381167679
65,55.0,0.7900453597225783,0.7014188162653574,0.9295009812780749,0.9511017265990597,0.8780360545905253,0.912310717809541,0.5905522622286502,0.8237860702819786,1.3268771906781074,0.640351598749214,1.0666866881660078,0.8736970423971905,0.20664515886307058
66,56.0,0.8323503110204761,0.7442801329116459,0.8502913709404503,0.8746147937073206,0.8563902952442923,0.8619091000627596,0.642755870099221,0.9201262858079552,1.240626450530092,0.7253172523616465,1.1569885222280731,0.8823318531739939,0.17635832581070515
67,57.0,0.8198642316435648,0.7386515596154862,0.8219119052745634,0.8582605223327125,0.8509863653395877,0.7869454339073898,0.700386377198623,0.905014593487558,1.2333083733334282,0.6697070332176162,1.0745118871438415,0.8599589347722157,0.165014234555358
68,58.0,0.7789006552250088,0.8185823761971778,0.724562210487407,0.742349948433274,0.7190429049996423,0.7476934067885849,0.5736339740838723,0.701560261668321,1.1991734476386902,0.6700770604102412,1.0761930136153108,0.7956153872315938,0.18229574472935556
69,59.0,0.8243224485713463,0.8608132355141938,0.701148985546697,0.7236795433039207,0.7747548121327532,0.6950019773309515,0.654757507187103,0.8074805609765562,1.0740662389333093,0.7822747858940085,0.9932685321459332,0.8083244206851611,0.12834187444153392
